lecture_id,campus,building,room_id
A0527,南大沢,1号,320
A0528,南大沢,6号,204
A0529,南大沢,6号,205
A0530,南大沢,6号,202
A0531,南大沢,6号,301
A0532,南大沢,6号,302
A0533,南大沢,6号,303
A0534,南大沢,6号,304
A0535,南大沢,6号,305
A0536,南大沢,6号,306
A0537,南大沢,6号,212
A0538,南大沢,6号,213
A0539,南大沢,6号,301
A0540,南大沢,6号,302
A0541,南大沢,6号,303
A0542,南大沢,6号,304
A0544,南大沢,6号,204
A0545,南大沢,6号,212
A0546,南大沢,6号,213
A0547,南大沢,6号,106
A0548,南大沢,AV棟,162
A0549,南大沢,6号,105
A0550,南大沢,6号,202
A0551,南大沢,6号,210
A0552,南大沢,AV棟,163
A0553,南大沢,6号,211
A0554,南大沢,6号,204
A0555,南大沢,6号,205
A0556,南大沢,6号,202
A0557,南大沢,6号,203
A0558,南大沢,6号,204
A0559,南大沢,6号,205
A0560,南大沢,6号,104
A0561,南大沢,6号,202
A0562,南大沢,6号,210
A0563,南大沢,6号,106
A0564,南大沢,AV棟,162
A0565,南大沢,6号,213
A0566,南大沢,6号,212
A0567,南大沢,6号,301
A0568,南大沢,6号,308
A0569,南大沢,6号,309
A0570,南大沢,6号,310
A0571,南大沢,6号,311
A0572,南大沢,6号,307
A0573,南大沢,6号,313
A0574,南大沢,6号,306
A0575,南大沢,6号,105
A0576,南大沢,6号,303
A0577,南大沢,1号,320
A0578,南大沢,6号,404
A0580,南大沢,6号,404
A0581,南大沢,6号,203
A0582,南大沢,6号,204
A0583,南大沢,6号,205
A0584,南大沢,6号,104
A0585,南大沢,6号,202
A0586,南大沢,6号,210
A0587,南大沢,6号,106
A0588,南大沢,AV棟,162
A0589,南大沢,6号,213
A0590,南大沢,6号,212
A0591,南大沢,6号,301
A0592,南大沢,6号,308
A0593,南大沢,6号,309
A0594,南大沢,6号,310
A0595,南大沢,6号,311
A0596,南大沢,6号,307
A0597,南大沢,6号,313
A0598,南大沢,6号,306
A0599,南大沢,6号,105
A0600,南大沢,6号,303
A0601,南大沢,1号,350
A0602,南大沢,1号,340
A0604,南大沢,1号,330
A0605,南大沢,1号,330
A0607,南大沢,6号,104
A0608,南大沢,6号,209
A0609,南大沢,6号,204
A0610,南大沢,6号,105
A0611,南大沢,6号,104
A0612,南大沢,6号,104
A0613,南大沢,6号,104
A0614,南大沢,6号,203
A0615,南大沢,6号,213
A0616,南大沢,6号,313
A0617,南大沢,6号,312
A0618,南大沢,6号,311
A0619,南大沢,6号,310
A0620,南大沢,6号,309
A0621,南大沢,6号,308
A0622,南大沢,6号,312
A0623,南大沢,6号,307
A0624,南大沢,6号,306
A0625,南大沢,6号,301
A0626,南大沢,6号,302
A0627,南大沢,6号,202
A0628,南大沢,6号,404
A0629,南大沢,6号,104
A0630,南大沢,6号,106
A0631,南大沢,6号,208
A0632,南大沢,6号,105
A0633,南大沢,AV棟,162
